"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @GadgTecs: Can Smart Tools Outsmart The Smartest Virus On The Planet? - #fly #influenza #cold 
https://t.co/GNB88qV04D",FALSE,0,,2018-03-02 22:42:48,FALSE,,"969704603179671552",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","BrindaPasini2",29,TRUE,FALSE,,
"RT @VitalRemedy: support your imune system naturally to fight off the #coughs and #cold #influenza #miltonkeynes https://t.co/D5rQuzLMqA",FALSE,0,,2018-03-02 22:39:21,FALSE,,"969703734988046336",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BrownBagPantry",1,TRUE,FALSE,,
"US flu activity drops further as hospitalizations rise
via @CIDRAP 
https://t.co/LaBsqx6zmH
#influenza #fluseason #flu",FALSE,0,,2018-03-02 22:38:53,FALSE,,"969703617673523201",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chrishendel",0,FALSE,FALSE,,
"Aún contamos con #vacunas contra la #influenza, todavía es posible el protegerte contáctanos ahora al 01800-9000-60… https://t.co/c2tDWKoCDq",FALSE,0,,2018-03-02 22:37:09,TRUE,,"969703183739170816",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VacunasZurivac",0,FALSE,FALSE,,
"RT @kdiwavvou: Seasonal #Influenza with #Vaccines 2017 - 2018
https://t.co/VpeTrqV1o9

#hitsm #mhealth #digitalhealth #hcsm #Healthcosts #I…",FALSE,0,,2018-03-02 22:37:07,FALSE,,"969703173505015809",,"<a href=""https://nobism.com/"" rel=""nofollow"">nobism</a>","nobismhealth",3,TRUE,FALSE,,
"RT @Salud_Ec: Si presentas síntomas de #Influenza recuerda NO automedicarte.
#EtapaInvernal https://t.co/yHuW2HlpmE",FALSE,0,,2018-03-02 22:37:00,FALSE,,"969703143062765568",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jp_Portoviejo",250,TRUE,FALSE,,
"RT @profvrr: There is growing evidence that various human and avian #influenza viruses can enter the body via the eye - by @GertrudRey at v…",FALSE,0,,2018-03-02 22:36:56,FALSE,,"969703127703269381",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nabeel_zah",11,TRUE,FALSE,,
"RT @Salud_Ec: Recuerda tomar estas medidas de prevención para evitar la #Influenza.
#EtapaInvernal https://t.co/cIK6uTRCZo",FALSE,0,,2018-03-02 22:36:51,FALSE,,"969703106735935488",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jp_Portoviejo",157,TRUE,FALSE,,
"RT @profvrr: There is growing evidence that various human and avian #influenza viruses can enter the body via the eye - by @GertrudRey at v…",FALSE,0,,2018-03-02 22:35:57,FALSE,,"969702882193936384",,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Annealiz1",11,TRUE,FALSE,,
"RT @kdiwavvou: Seasonal #Influenza with #Vaccines 2017 - 2018
https://t.co/VpeTrqV1o9

#hitsm #mhealth #digitalhealth #hcsm #Healthcosts #I…",FALSE,0,,2018-03-02 22:32:51,FALSE,,"969702098551037952",,"<a href=""http://insidestat.nl"" rel=""nofollow"">insidestat_account_bm</a>","insidestat",3,TRUE,FALSE,,
"RT @kdiwavvou: Seasonal #Influenza with #Vaccines 2017 - 2018
https://t.co/VpeTrqV1o9

#hitsm #mhealth #digitalhealth #hcsm #Healthcosts #I…",FALSE,0,,2018-03-02 22:22:44,FALSE,,"969699555284520960",,"<a href=""http://www.littlemsmobile.com"" rel=""nofollow"">CareMo News</a>","caring_mobile",3,TRUE,FALSE,,
"#influenza #vaccines https://t.co/hmnpiT4Wh5",FALSE,0,,2018-03-02 22:22:36,FALSE,,"969699519683231747",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JamieLaceyPR",0,FALSE,FALSE,,
"Seasonal #Influenza with #Vaccines 2017 - 2018
https://t.co/VpeTrqV1o9

#hitsm #mhealth #digitalhealth #hcsm… https://t.co/FLeuQ8iXLB",FALSE,1,"kdiwavvou",2018-03-02 22:19:03,TRUE,"969686893280616448","969698627441627138","113471876","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kdiwavvou",3,FALSE,FALSE,,
"#Portoviejo | Se ubican afiches con medidas de prevención de la #influenza en lugares estratégicos de la ciudadela… https://t.co/6kNIlMZR0q",FALSE,0,,2018-03-02 22:07:36,TRUE,,"969695744893517827",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Salud_CZ4",0,FALSE,FALSE,,
"Dejligt at det nu ser ud til at #influenza epidemien har toppet https://t.co/H4QjRAm1pe https://t.co/OtmRhsYVri",FALSE,1,,2018-03-02 22:01:26,FALSE,,"969694195362553858",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","apandersen",0,FALSE,FALSE,,
"There have been 7984 confirmed cases of #influenza A &amp; B across the province so far this flu season. Protect yourse… https://t.co/lpVu9jAa0y",FALSE,0,,2018-03-02 22:00:27,TRUE,,"969693945998532613",,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","AHS_CentralZone",0,FALSE,FALSE,,
"RT @NEJM: Podcast: Douglas Opel, MD, MPH, discusses legal issues surrounding the enforcement of #influenza vaccination requirements for hea…",FALSE,0,,2018-03-02 21:59:27,FALSE,,"969693693740572672",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TV_Bartolotta",6,TRUE,FALSE,,
"RT @ispch: Enfermos crónicos entre 6 y 64 años, portadores de alguna de estas condiciones de riesgo, DEBEN vacunarse contra la #influenza ������…",FALSE,0,,2018-03-02 21:57:57,FALSE,,"969693318337761280",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HepatitisChile",8,TRUE,FALSE,,
"Our latest operational infectious diseases weekly report is out. If you're interested in current rates and trends f… https://t.co/sKoXk7wRBO",FALSE,0,,2018-03-02 21:33:38,TRUE,,"969687196713213952",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NH_RC",0,FALSE,FALSE,,
"RT @GadgTecs: Can Smart Tools Outsmart The Smartest Virus On The Planet? - #fly #influenza #cold 
https://t.co/GNB88qV04D",FALSE,0,,2018-03-02 21:33:11,FALSE,,"969687084280745985",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","TandyHandley7",29,TRUE,FALSE,,
"US #flu activity drops further as hospitalizations rise https://t.co/rJCBAJy0TE #influenza @CDCgov https://t.co/2GmQtJe26J",FALSE,0,,2018-03-02 21:28:01,FALSE,,"969685785720082433",,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","CIDRAP",0,FALSE,FALSE,,
"RT @ECDC_Flu: European overview of the #influenza vaccine effectiveness estimate now available ⬇️ https://t.co/BOpUWDrNwJ",FALSE,0,,2018-03-02 21:23:48,FALSE,,"969684723101523968",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LoH2O",7,TRUE,FALSE,,
"RT @RonanKelly13: USA: Newly reported #Influenza deaths from (tot) California (598), Kentucky (160), Indiana (244), Tennessee (33) and Ohio…",FALSE,0,,2018-03-02 21:22:50,FALSE,,"969684479949332481",,"<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","H7N9Influenza",1,TRUE,FALSE,,
"USA: Newly reported #Influenza deaths from (tot) California (598), Kentucky (160), Indiana (244), Tennessee (33) an… https://t.co/KeBwsx6BA1",FALSE,0,,2018-03-02 21:12:40,TRUE,,"969681919154761731",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RonanKelly13",1,FALSE,FALSE,,
"RT @deetheherbalist: Winter just doesn’t know when to give up this year! Time to whip up another batch of Dr Valnet’s #Influenza Tea! #SNOW…",FALSE,0,,2018-03-02 21:10:53,FALSE,,"969681473056989184",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","puppylola",1,TRUE,FALSE,,
