(Sub)type,Genetic_Group,Number,% of (Sub)type Total
B/Victoria,V1A,31,48
B/Victoria,V1A-2Del,34,52
B/Yamagata,Y3,391,100
H1pdm09,6B.1,337,100
H3,3C.2a,645,84
H3,3C.2a1,113,15
H3,3C.3a,11,1
