lon,lat
175.0478901,-39.9300887
149.0123679,-35.4734679
149.1300092,-35.2809368
149.1300092,-35.2809368
149.1300092,-35.2809368
149.1300092,-35.2809368
138.6007456,-34.9284989
138.6007456,-34.9284989
18.4356653,-34.1937654
18.4240553,-33.9248685
-70.6692655,-33.4488897
-70.6453887,-33.4456835
115.8604572,-31.9505269
22.937506,-30.559482
26.7260713,-29.2672728
121.6283098,-27.6728168
153.3831175,-27.6705144
152.8906379,-27.6624852
153.0251235,-27.4697707
153.0251235,-27.4697707
153.0251235,-27.4697707
153.0251235,-27.4697707
153.0251235,-27.4697707
150.7040975,-26.6525593
28.0473051,-26.2041028
28.0473051,-26.2041028
-43.1728965,-22.9068467
-43.1728965,-22.9068467
-43.1728965,-22.9068467
-43.2155524,-22.8792069
-43.7779187,-22.8631853
-41.889042,-22.7563906
-42.9756194,-22.416956
-43.9352376,-19.9245018
-43.9243123,-19.688806
31.03351,-17.8251657
-51.92528,-14.235004
-77.042754,-12.0463731
35.6860723,-7.768059
72.4228556,-7.3195005
110.1402594,-7.150975
107.6191228,-6.9174639
106.8650395,-6.17511
106.8650395,-6.17511
-44.2175114,-2.5438516
-78.183406,-1.831239
113.921327,-0.789275
35.230644,-0.5159774
-78.4678382,-0.1806532
-78.4678382,-0.1806532
-78.4678382,-0.1806532
103.819836,1.352083
103.819836,1.352083
32.290275,1.373333
73.22068,3.202778
101.975766,4.210484
101.975766,4.210484
101.975766,4.210484
-74.072092,4.7109886
-1.2794744,5.13151
-66.58973,6.42375
3.3792057,6.5243793
-58.1551255,6.8012793
125.455341,7.190708
125.455341,7.190708
-62.6496813,8.3663119
7.4708703,9.0798506
118.78551,9.9672163
-66.9036063,10.4805937
-66.9036063,10.4805937
-66.9036063,10.4805937
-66.9036063,10.4805937
-66.9036063,10.4805937
104.8921668,11.5448729
79.0746957,12.2252841
121.774017,12.879721
80.0826932,12.9949167
80.2707184,13.0826802
79.6659598,13.0850076
74.7863698,13.3605015
121.0851097,14.5763768
120.9842195,14.5995124
120.9842195,14.5995124
-86.241905,15.199999
-61.45814,15.5561791
-96.7132304,17.0542297
-61.8175207,17.0746557
78.4617219,17.4425496
-88.1962133,17.5045661
-76.8099041,18.0178743
-67.1451549,18.2013452
-66.590149,18.220833
-69.9312117,18.4860575
73.8567437,18.5204303
-70.162651,18.735693
-70.162651,18.735693
-98.1948579,19.0436666
72.8776559,19.0759837
72.8776559,19.0759837
72.8776559,19.0759837
-96.1342241,19.173773
72.828849,19.2332208
-155.5827818,19.8967662
78.96288,20.593684
-103.3496092,20.6596988
39.2375507,21.2854067
39.2375507,21.2854067
-157.8583333,21.3069444
-157.8583333,21.3069444
-157.8583333,21.3069444
-158.0568965,21.3353909
79.1943534,22.946557
72.5713621,23.022505
72.5713621,23.022505
-102.552784,23.634501
90.356331,23.684994
90.356331,23.684994
45.079162,23.885942
39.7150786,24.5537422
121.3874856,25.0334479
67.2847875,25.0700428
67.2847875,25.0700428
51.183884,25.354826
85.1375645,25.5940947
-100.3161126,25.6866142
-80.1917902,25.7616798
-80.1917902,25.7616798
-80.1917902,25.7616798
-80.1917902,25.7616798
-80.1917902,25.7616798
-80.1917902,25.7616798
-80.1917902,25.7616798
-80.1917902,25.7616798
-80.1917902,25.7616798
-80.1917902,25.7616798
-80.1300455,25.790654
