"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @SGottliebFDA: My statement on what #FDA is learning about the efficacy of this year’s #flu vaccine; and the agency’s ongoing efforts to…",FALSE,0,,2018-02-26 22:11:28,FALSE,,"968247165301772289",,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","zipjet",12,TRUE,FALSE,,
"Terra #Flu - Defensor do Olympique de Marselha critica Neymar: 'Procura faltas' https://t.co/NHAvylOpYb",FALSE,0,,2018-02-26 22:11:03,FALSE,,"968247062868516864",,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","jornaltricolor",0,FALSE,FALSE,,
"Terra #Flu - Novatos aprendem a lidar com oscilações bruscas em moedas digitais https://t.co/roTWzCwHGt",FALSE,0,,2018-02-26 22:11:03,FALSE,,"968247061425598464",,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","jornaltricolor",0,FALSE,FALSE,,
"Terra #Flu - Dodge pede ordem do STF para impedir novas falas de Segovia, sob pena de pedir… https://t.co/jy6HFPe6cj",FALSE,0,,2018-02-26 22:11:02,FALSE,,"968247059286511616",,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","jornaltricolor",0,FALSE,FALSE,,
"Terra #Flu - Kieza conta que Fred o inspirou a ser artilheiro: 'Aprendi muito com ele' https://t.co/QQm8jmH7pM",FALSE,0,,2018-02-26 22:11:02,FALSE,,"968247057659121664",,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","jornaltricolor",0,FALSE,FALSE,,
"Terra #Flu - 'BBB18': Noiva de Lucas não vai ao paredão.'Por causa do trabalho', diz mãe… https://t.co/FmalIw7Nxi",FALSE,0,,2018-02-26 22:11:02,FALSE,,"968247056199553030",,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","jornaltricolor",0,FALSE,FALSE,,
"O que significa a decisão da China de acabar com limite de reeleição para presidente https://t.co/koDx6uYOyQ #flu",FALSE,0,,2018-02-26 22:10:58,FALSE,,"968247040953200640",,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","literaturalimit",0,FALSE,FALSE,,
"RT @drkdhoffman: Could it be #flu?  #influenza https://t.co/hn8JqgU5E3 https://t.co/QlTHEvfRbB",FALSE,0,,2018-02-26 22:10:53,FALSE,,"968247021558779905",,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","orenfu",3,TRUE,FALSE,,
"RT @CDCgov: #Flu activity remains elevated across the United States. Remember these 3 steps to #fightflu: 

1⃣   Get yourself &amp; your family…",FALSE,0,,2018-02-26 22:10:33,FALSE,,"968246938155077633",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ldayASTEM",51,TRUE,FALSE,,
"I feel sorry for anyone who has got this #flu.  Swept our home with each kid quickly and then hit me like a bag of… https://t.co/Kr5LI2zvXL",FALSE,0,,2018-02-26 22:09:24,TRUE,,"968246648273977345",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","happythruhealth",0,FALSE,FALSE,,
"RT @Protectcare: With #flu season still raging, here are some tips from a pediatrician on how you can protect the kids in your life:
https:…",FALSE,0,,2018-02-26 22:08:59,FALSE,,"968246541831098369",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EuropeBound",34,TRUE,FALSE,,
"RT @medlineplus: RT @CDCgov: #Flu is widespread across the U.S. While a flu shot is still the best way to prevent flu, antiviral drugs are…",FALSE,0,,2018-02-26 22:06:25,FALSE,,"968245898156310528",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NicoleA00315407",11,TRUE,FALSE,,
"RT @NFIDvaccines: #FluFact: You should still get a #flu shot, if you haven't yet. Vaccination is recommended as long as flu viruses are cir…",FALSE,0,,2018-02-26 22:06:09,FALSE,,"968245828799344640",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Aging_Research",3,TRUE,FALSE,,
"RT @CDCgov: #Flu activity remains elevated across the United States. Remember these 3 steps to #fightflu: 

1⃣   Get yourself &amp; your family…",FALSE,0,,2018-02-26 22:06:03,FALSE,,"968245803310395392",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yukinyan48_akbb",51,TRUE,FALSE,,
"RT @LotusOak: Guillain Barré Syndrome is #1 in #Vaccine #Injury Compensations due to #Flu Shots

https://t.co/9I1VB1kfBi https://t.co/7SNSo…",FALSE,0,,2018-02-26 22:05:36,FALSE,,"968245690815131649",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TrutherbotAnyo2",15,TRUE,FALSE,,
"RT @beatflu: Did you know that frontline healthcare workers are more at risk of catching #flu than the general public? Make sure to protect…",FALSE,0,,2018-02-26 22:04:59,FALSE,,"968245537576226816",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SianiBolt",6,TRUE,FALSE,,
"RT @DrCorriel: Per #CDC, flu season has hit its peak &amp; doctors are seeing less #flu diagnosed. That’s great news for many of us, but sad to…",FALSE,0,,2018-02-26 22:04:45,FALSE,,"968245478424006657",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KaitlynMarieRio",1,TRUE,FALSE,,
"RT @LotusOak: Guillain Barré Syndrome is #1 in #Vaccine #Injury Compensations due to #Flu Shots

https://t.co/9I1VB1kfBi https://t.co/7SNSo…",FALSE,0,,2018-02-26 22:02:38,FALSE,,"968244945831317504",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NaxaRock",15,TRUE,FALSE,,
"RT @CDCgov: #Flu activity remains elevated across the United States. Remember these 3 steps to #fightflu: 

1⃣   Get yourself &amp; your family…",FALSE,0,,2018-02-26 22:01:11,FALSE,,"968244580867981312",,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","andyz",51,TRUE,FALSE,,
"Government  #Vaccine Injury Report Continues to Prove #Flu #Vaccines are Destroying Lives,  https://t.co/Ln4y72GZds",FALSE,0,,2018-02-26 22:01:00,FALSE,,"968244533434769408",,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RTAHealth",0,FALSE,FALSE,,
"Per #CDC, flu season has hit its peak &amp; doctors are seeing less #flu diagnosed. That’s great news for many of us, b… https://t.co/2BTTXUhAhU",FALSE,1,,2018-02-26 22:00:35,TRUE,,"968244427541053440",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrCorriel",1,FALSE,FALSE,,
"#FluFact: You should still get a #flu shot, if you haven't yet. Vaccination is recommended as long as flu viruses a… https://t.co/ia0rNd08Ae",FALSE,0,,2018-02-26 22:00:31,TRUE,,"968244413699944448",,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NFIDvaccines",3,FALSE,FALSE,,
"RT @medical_xpress: #Flu may impact brain health @sfntweets @sfnjournals https://t.co/rNA3T5o5KU",FALSE,0,,2018-02-26 22:00:15,FALSE,,"968244344498151425",,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Zzerzonat",3,TRUE,FALSE,,
"Say no to the nasty cold and #flu season by using these natural remedies! https://t.co/Zhwhr3ux78 https://t.co/hVczwLaSkr",FALSE,1,,2018-02-26 22:00:02,FALSE,,"968244289628180483",,"<a href=""http://www.reputationmailer.com/"" rel=""nofollow"">Social Reputation</a>","CarmelFoot",0,FALSE,FALSE,,
"RT @LoyolaHealth: Protect yourself from the #Flu. Follow these #FluPrevention tips from Mary Barsanti-Sekhar, MD. | https://t.co/pEOy0vcvbf…",FALSE,0,,2018-02-26 21:58:04,FALSE,,"968243794759028736",,"<a href=""http://hyper.emazeme.com"" rel=""nofollow"">Hyper Local</a>","eMazingElmwoodP",1,TRUE,FALSE,,
"RT @drkdhoffman: Could it be #flu?  #influenza https://t.co/hn8JqgU5E3 https://t.co/QlTHEvfRbB",FALSE,0,,2018-02-26 21:57:27,FALSE,,"968243640593199105",,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","medivizor",3,TRUE,FALSE,,
"RT @CDCgov: #Flu activity remains elevated across the United States. Remember these 3 steps to #fightflu: 

1⃣   Get yourself &amp; your family…",FALSE,0,,2018-02-26 21:57:00,FALSE,,"968243528454279168",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","auilox77",51,TRUE,FALSE,,
"The cobas Liat system offers CLIA-waived, walk-away testing for #Influenza A/B, Group A strep and RSV.  Its actiona… https://t.co/FieFRUDC7W",FALSE,0,,2018-02-26 21:56:07,TRUE,,"968243303262060544",,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","RocheDiaUSA",0,FALSE,FALSE,,
"It’s been a deadly #flu season. Get your kids vaccinated! There’s a 59% effectiveness rate in children’s flu… https://t.co/O3UuGPAUf5",FALSE,0,,2018-02-26 21:56:04,TRUE,,"968243289718706176",,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","StClairHospital",0,FALSE,FALSE,,
"RT @medical_xpress: #Flu may impact brain health @sfntweets @sfnjournals https://t.co/rNA3T5o5KU",FALSE,0,,2018-02-26 21:54:38,FALSE,,"968242933123121153",,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>","bellewitch66",3,TRUE,FALSE,,
"RT @CDCgov: #Flu activity remains elevated across the United States. Remember these 3 steps to #fightflu: 

1⃣   Get yourself &amp; your family…",FALSE,0,,2018-02-26 21:54:04,FALSE,,"968242787203284992",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ACNMmidwives",51,TRUE,FALSE,,
"RT @CDCgov: #Flu activity remains elevated across the United States. Remember these 3 steps to #fightflu: 

1⃣   Get yourself &amp; your family…",FALSE,0,,2018-02-26 21:54:01,FALSE,,"968242774679150593",,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","colonialdude",51,TRUE,FALSE,,
