lon,lat
-157.8583333,21.3069444
-127.6476205,53.7266683
-127.6476205,53.7266683
-127.6476205,53.7266683
-123.1207375,49.2827291
-123.1207375,49.2827291
-123.1207375,49.2827291
-123.1207375,49.2827291
-122.9888319,38.5779555
-122.6764815,45.5230622
-122.6764815,45.5230622
-122.6764815,45.5230622
-122.6764815,45.5230622
-122.6716063,45.6318397
-122.5950942,45.5897694
-122.4194155,37.7749295
-122.4194155,37.7749295
-122.3320708,47.6062095
-122.3320708,47.6062095
-122.3320708,47.6062095
-122.3320708,47.6062095
-122.2913078,37.8271784
-121.8863286,37.3382082
-121.8863286,37.3382082
-121.6555013,36.6777372
-121.6555013,36.6777372
-121.4943996,38.5815719
-121.4943996,38.5815719
-121.4943996,38.5815719
-121.4168133,38.5796726
-121.4168133,38.5796726
-120.7401385,47.7510741
-120.7401385,47.7510741
-119.4960106,49.8879519
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-118.3531311,33.9616801
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2061465,34.1006734
-118.1479208,34.1469288
-117.9046113,33.6797332
-117.8861205,33.6774072
-117.6581562,33.5968913
-117.4260465,47.6587802
-117.1610838,32.715738
-117.1610838,32.715738
-116.6667115,31.8693707
-116.5765035,53.9332706
-114.0708459,51.0486151
-114.0708459,51.0486151
-113.8112386,52.2681118
-113.7746723,50.3463355
-113.7173037,52.475399
-113.5975533,53.5700247
-113.4909267,53.544389
-112.0740373,33.4483771
-112.0740373,33.4483771
-112.0157331,41.5118042
-111.9791494,41.2082541
-111.9260519,33.4941704
-111.9260519,33.4941704
-111.8723896,40.6685393
-111.8568586,31.8500823
-111.8369909,41.7352542
-111.6772142,41.0357005
-111.6582149,40.2316395
-111.0937311,34.0489281
-111.0937311,34.0489281
-111.0429339,45.6769979
-110.9559192,29.0729673
-110.9559192,29.0729673
-110.3308814,29.2972247
-110.3308814,29.2972247
-110.3308814,29.2972247
-109.7232581,40.9882442
-109.7124043,23.0798696
-109.4464093,27.0894841
-109.4437493,27.0727573
-109.4437493,27.0727573
-106.346771,56.130366
-106.346771,56.130366
-106.346771,56.130366
-106.346771,56.130366
-106.346771,56.130366
-105.937799,35.6869752
-105.7820674,39.5500507
-105.2551187,54.5259614
-105.2551187,54.5259614
-105.084423,40.5852602
-104.3384616,19.1138094
-103.8690216,18.9034048
-103.3795417,20.5236532
-103.3496092,20.6596988
-103.3496092,20.6596988
-103.3496092,20.6596988
-103.3496092,20.6596988
-103.3496092,20.6596988
-103.3494376,20.6595382
-103.0213677,19.9891511
-102.5832426,22.7708555
-102.552784,23.634501
-102.552784,23.634501
-102.552784,23.634501
-102.552784,23.634501
-102.552784,23.634501
-102.552784,23.634501
-102.552784,23.634501
-102.552784,23.634501
-102.552784,23.634501
-102.552784,23.634501
-102.4107493,34.2331373
-102.4107493,34.2331373
-102.4107493,34.2331373
-101.7068294,27.058676
-101.6859605,21.1250077
-100.973678,25.4383234
-100.973678,25.4383234
-100.973678,25.4383234
-100.3898881,20.5887932
-100.3898876,20.5888184
-100.3898876,20.5888184
-100.3898876,20.5888184
-100.3692475,25.7157044
-100.3161126,25.6866142
-100.2396727,50.0328638
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.2311361,18.9369695
-99.2215659,18.9242095
-99.2215659,18.9242095
-99.2114234,19.2790911
-99.1843676,18.8478608
-99.1591446,19.3794059
-99.1473807,19.3348234
-99.133208,19.4326077
-99.133208,19.4326077
-99.133208,19.4326077
-99.133208,19.4326077
-99.133208,19.4326077
-99.1308718,19.4218912
-99.1013498,18.6813049
-98.9052192,20.2265612
-98.8362755,24.26694
-98.7623874,20.0910963
-98.7623874,20.0910963
-98.7623874,20.0910963
-98.7591311,20.1010608
-98.7591311,20.1010608
-98.7591311,20.1010608
-98.7591311,20.1010608
-98.7591311,20.1010608
-98.7591311,20.1010608
-98.7591311,20.1010608
-98.7591311,20.1010608
-98.7591311,20.1010608
-98.7591311,20.1010608
-98.7591311,20.1010608
-98.6960424,20.0708947
-98.4936282,29.4241219
-98.4936282,29.4241219
-98.3455688,26.649503
-98.3170569,20.0368036
-98.2212979,26.4656319
-98.2212979,26.4656319
-98.2062727,19.0414398
-98.2062727,19.0414398
-98.2062727,19.0414398
-98.2062727,19.0414398
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.333486,32.748016
-97.3307658,32.7554883
-97.1950138,32.991235
